label,area,perimeter,equivalent_diameter,centroid-0,centroid-1
1122,13.0,11.313708498984761,4.068428945128219,1504.0,666.0
1123,28.0,18.970562748477143,5.970821321441846,1506.357142857143,1645.5
1124,28.0,18.970562748477143,5.970821321441846,1508.5,207.17857142857142
1125,13.0,11.313708498984761,4.068428945128219,1507.0,3857.0
1126,13.0,11.313708498984761,4.068428945128219,1509.0,719.0
1127,276.0,92.36753236814714,18.746042631630413,1518.373188405797,3164.246376811594
1128,13.0,11.313708498984761,4.068428945128219,1510.0,1244.0
1129,48.0,24.62741699796952,7.817640190446719,1511.6666666666667,1726.4583333333333
1130,62.0,32.04163056034262,8.884866446580956,1514.6935483870968,3827.2096774193546
1131,41.0,22.970562748477143,7.225151993843567,1514.0243902439024,3553.5365853658536
1132,95.0,39.112698372208094,10.998079684646791,1518.536842105263,1903.6315789473683
1133,63.0,33.45584412271571,8.95623198216277,1516.5714285714287,2653.3809523809523
1134,97.0,45.35533905932738,11.11324596323283,1522.2268041237114,132.8762886597938
1135,136.0,51.941125496954285,13.159049284959082,1518.6691176470588,1451.764705882353
1136,13.0,11.313708498984761,4.068428945128219,1517.0,2150.0
1137,13.0,11.313708498984761,4.068428945128219,1522.0,102.0
1138,144.0,62.49747468305833,13.540550005146152,1533.8958333333333,3309.3958333333335
1139,23.0,16.970562748477143,5.4115163798060095,1525.0,110.21739130434783
1140,31.0,18.970562748477143,6.282549314314218,1525.0967741935483,3225.516129032258
1141,132.0,62.568542494923804,12.964089628857149,1535.2727272727273,2656.757575757576
1142,295.0,111.095454429505,19.38054864282415,1537.9661016949153,455.7457627118644
1143,270.0,105.33809511662427,18.5411616971131,1541.1074074074074,1910.0518518518518
1144,18.0,14.142135623730951,4.787307364817192,1530.5,954.5
1145,399.0,144.4446968344225,22.539356209735228,1556.8521303258146,6.110275689223058
1146,124.0,59.49747468305833,12.565098628628435,1538.5967741935483,148.48387096774192
1147,32.0,19.556349186104047,6.383076486422923,1537.75,163.34375
1148,28.0,18.970562748477143,5.970821321441846,1537.5,799.1785714285714
1149,31.0,18.970562748477143,6.282549314314218,1537.516129032258,1499.3870967741937
1150,9.0,9.65685424949238,3.385137501286538,1536.0,4006.4444444444443
1151,13.0,11.313708498984761,4.068428945128219,1537.0,3445.0
1152,45.0,30.077164466275356,7.569397566060481,1540.5333333333333,299.8222222222222
1153,359.0,129.7228714274745,21.37973331358283,1558.3983286908078,1582.0362116991644
1154,27.0,17.556349186104047,5.863230142835039,1539.7777777777778,3534.1111111111113
1155,189.0,63.49747468305833,15.512648837479231,1547.994708994709,173.2910052910053
1156,79.0,35.112698372208094,10.02925341359355,1546.9493670886077,3282.493670886076
1157,318.0,125.72287142747452,20.12188299403865,1558.7358490566037,731.4654088050314
1158,28.0,24.213203435596427,5.970821321441846,1549.0,2277.5
1159,18.0,13.313708498984761,4.787307364817192,1548.0,3537.5
1160,13.0,11.313708498984761,4.068428945128219,1549.0,2627.0
1161,21.0,14.727922061357855,5.170882945826411,1550.7142857142858,1731.7142857142858
1162,132.0,47.941125496954285,12.964089628857149,1555.6136363636363,1519.969696969697
1163,32.0,20.384776310850235,6.383076486422923,1552.65625,3477.5625
1164,165.0,77.63961030678928,14.494292838262302,1559.6848484848485,1911.4121212121213
1165,26.0,17.556349186104047,5.753627391751592,1556.1153846153845,184.23076923076923
1166,234.0,90.8111831820431,17.26088217525478,1573.5811965811965,295.61538461538464
1167,33.0,19.556349186104047,6.4820448144285745,1559.6363636363637,1876.4545454545455
1168,13.0,11.313708498984761,4.068428945128219,1558.0,3803.0
1169,1842.0,479.4528855298855,48.42837227702548,1606.499457111835,168.44788273615634
1170,62.0,28.627416997969522,8.884866446580956,1562.0645161290322,3487.8225806451615
1171,18.0,13.313708498984761,4.787307364817192,1561.0,1081.5
1172,13.0,11.313708498984761,4.068428945128219,1561.0,3563.0
1173,13.0,11.313708498984761,4.068428945128219,1561.0,3664.0
1174,31.0,25.041630560342618,6.282549314314218,1565.8064516129032,3854.2903225806454
1175,206.0,70.8111831820431,16.195287778099022,1568.3349514563106,3714.4320388349515
1176,131.0,51.01219330881976,12.914889870235298,1570.4274809160306,743.7099236641221
1177,113.0,61.154328932550705,11.994835078277376,1569.9203539823009,2087.2035398230087
1178,33.0,20.970562748477143,6.4820448144285745,1568.060606060606,226.57575757575756
1179,13.0,11.313708498984761,4.068428945128219,1567.0,36.0
1180,43.0,23.798989873223334,7.399277020331919,1569.5813953488373,1743.9767441860465
1181,13.0,11.313708498984761,4.068428945128219,1567.0,3617.0
1182,291.0,109.68124086713189,19.248706645328987,1575.0962199312714,3474.7972508591065
1183,40.0,21.556349186104047,7.136496464611085,1570.6,3303.475
1184,23.0,16.14213562373095,5.4115163798060095,1570.608695652174,933.0
1185,76.0,39.35533905932738,9.83698151873187,1572.8157894736842,1088.1052631578948
1186,70.0,37.698484809834994,9.440697438826296,1572.9857142857143,238.84285714285716
1187,21.0,14.727922061357855,5.170882945826411,1571.2857142857142,2507.285714285714
1188,47.0,24.384776310850235,7.735777827895049,1572.404255319149,2812.723404255319
1189,13.0,11.313708498984761,4.068428945128219,1572.0,68.0
1190,21.0,14.727922061357855,5.170882945826411,1574.2857142857142,1591.7142857142858
1191,13.0,11.313708498984761,4.068428945128219,1576.0,2447.0
1192,30.0,18.14213562373095,6.180387232371033,1578.8,368.5
1193,78.0,36.87005768508881,9.965574970333758,1581.3589743589744,2118.628205128205
1194,310.0,121.16652224137046,19.867165345562018,1597.0258064516129,441.1967741935484
1195,51.0,25.213203435596427,8.058239062071396,1584.549019607843,2756.392156862745
1196,241.0,56.2842712474619,17.517155313611116,1590.5726141078837,1579.2946058091286
1197,27.0,16.727922061357855,5.863230142835039,1583.7777777777778,2211.3333333333335
1198,64.0,33.45584412271571,9.0270333367641,1588.71875,151.921875
1199,207.0,64.08326112068522,16.23454913941803,1596.1739130434783,531.768115942029
1200,36.0,20.970562748477143,6.770275002573076,1590.1666666666667,1659.0
1201,29.0,18.970562748477143,6.076507779746499,1597.4827586206898,135.79310344827587
1202,165.0,55.49747468305833,14.494292838262302,1603.0060606060606,287.6060606060606
1203,23.0,16.14213562373095,5.4115163798060095,1597.391304347826,1915.0
1204,24.0,16.14213562373095,5.527906391541368,1598.5,2175.0
1205,18.0,13.313708498984761,4.787307364817192,1599.0,3878.5
