label,area,equivalent_diameter,perimeter,eccentricity,solidity,centroid-0,centroid-1,equivalent_diameter_nm,area_nm2,circularity
1,53901.0,261.97115242096794,11498.074291783709,0.906771667732103,0.05548972635527796,731.2145600267156,3323.2142817387435,7.637642927725013,45.815094050948154,0.005123378786658963
2,5964.0,87.14126832219343,1075.7213304655277,0.9060350295240556,0.2673120882076106,193.74865861837694,232.15174379611,2.540561758664531,5.069316356280121,0.06476612864412717
3,34987.0,211.06120427887532,6620.328882836494,0.8714577201988251,0.11423990805168174,448.9826221167862,398.6718781261611,6.153387879850592,29.73845931542129,0.010031305099369496
4,5432.0,83.16391769873161,1223.5464396928837,0.468094847587292,0.22860990699044653,313.9232326951399,2031.2663843888072,2.42460401454028,4.617123817457012,0.04559620630546685
5,1323.0,41.04261099984527,285.344757555531,0.920036168392899,0.45715272978576366,289.9697656840514,424.63114134542707,1.1965775801704162,1.1245314452311534,0.20418785754018579
6,568.0,26.89237924411993,140.89127877789227,0.9457213217223579,0.6859903381642513,511.48591549295776,326.3345070422535,0.7840343802950417,0.4827920339314401,0.3595754046225418
7,5193.0,81.3137931461182,1211.0984738168204,0.7173424546482499,0.1679332535653074,641.8709801656075,807.1546312343539,2.370664523210443,4.413977169376705,0.044490703492608676
8,8398.0,103.40534655754458,1682.0328455740537,0.6862376184031359,0.24105861415695504,664.0284591569422,494.79864253393663,3.0147331357884712,7.138182219993369,0.03730068350943962
9,1359.0,41.597266031496424,290.1524313109301,0.9220697639210407,0.47650771388499297,641.2597498160412,3173.7630610743195,1.212748280801645,1.1551309403394843,0.20285087839391638
10,5875.0,86.48862541004499,1164.1719252434668,0.5693494970836257,0.3628559076029893,824.2100425531914,666.2074893617021,2.521534268514431,4.993667604484526,0.05447327563019415
11,33792.0,207.42543406171438,7161.600646765074,0.7768762041766383,0.08725582596346265,1034.6632634943182,591.743223248106,6.047388748154938,28.722726075019757,0.008279489525955532
12,1100.0,37.424103185095554,183.52604571701775,0.9663394509373843,0.7523939808481532,788.4454545454546,359.71909090909094,1.0910817255129899,0.9349845727545495,0.4103997943945757
13,553.0,26.534910368014152,132.61668979776115,0.933837663058764,0.676039119804401,786.0433996383364,557.7721518987341,0.7736125471724242,0.4700422443029689,0.3951287480888526
14,1788.0,47.71322988424144,394.4226224146502,0.9406631927144181,0.368659793814433,835.1140939597316,410.40939597315435,1.3910562648466893,1.5197749237137586,0.14442878105606038
15,568.0,26.89237924411993,148.7057921657681,0.9525115349698476,0.5972660357518401,854.5193661971831,2472.2341549295775,0.7840343802950417,0.4827920339314401,0.32277688796539633
16,4327.0,74.2247095654072,589.2859132731915,0.8944483718071558,0.46961146082049054,928.6507973191588,380.9401432863416,2.16398570161537,3.677889314826305,0.15658301104955605
17,566.0,26.844991754889815,101.03331367511575,0.7837332422010642,0.8654434250764526,899.8498233215548,482.97703180212017,0.7826528208422686,0.48109206198097726,0.6967822854566669
18,985.0,35.413852537730705,234.11007906513223,0.9232428573132702,0.40352314625153624,959.1878172588832,2241.307614213198,1.0324738349192626,0.8372361856029374,0.2258426032684162
19,3891.0,70.3859010638105,750.709177357249,0.706708022367455,0.3436368453590038,1047.1308147005911,543.1272166538165,2.052067086408469,3.3072954296254107,0.08676161842193267
20,570.0,26.939683377854365,164.66014151266182,0.8955910910272996,0.4943625325238508,1003.5175438596491,822.0929824561404,0.7854135095584363,0.4844920058819029,0.26418475401408364
21,888.0,33.62494186946387,224.2646937582062,0.8118339287374896,0.4415713575335654,1221.509009009009,589.3490990990991,0.9803190049406375,0.7547875460054908,0.22187124216125292
22,20673.0,162.23957935198803,4556.765108033292,0.7244761750993189,0.15694417029805197,1703.8989019494027,1720.31321046776,4.730016890728514,17.57176006595891,0.012511232198631927
23,517.0,25.65667251667837,158.97178481885072,0.9295863611789725,0.4886578449905482,1576.009671179884,2364.365570599613,0.7480079450926638,0.4394427491946382,0.25707527361451854
24,732.0,30.52886088189566,175.71153232914193,0.959227602688422,0.5579268292682927,1762.4590163934427,1782.120218579235,0.8900542531164916,0.6221897338693911,0.29793423698075666
25,19104.0,155.96143197156326,4012.8281753261945,0.5471102133458707,0.14344927013876374,2242.127774288107,400.35118299832493,4.546980523952281,16.23813207082083,0.014908468951225813
26,3589.0,67.5992361351406,678.5382544973455,0.9644385327213784,0.3472329721362229,2428.4190582334913,4064.0872109222623,1.9708232109370436,3.0505996651055254,0.09795681318545646
27,18244.0,152.41057133331765,3251.3534614775085,0.37337562661974477,0.1750376574657725,2650.7045055908793,3904.910217057663,4.443456890184188,15.507144132121818,0.021687103760845552
28,603.0,27.70854462932514,153.8387884923094,0.946534660007588,0.5798076923076924,2607.2404643449418,229.91210613598673,0.8078292894846979,0.5125415430645394,0.32018093901235245
29,525.0,25.854414729132053,176.17160792139725,0.9762553417689146,0.4449152542372881,2974.4190476190474,3219.499047619048,0.7537730241729461,0.44624263699648953,0.21256772820450195
30,883.0,33.53014342350997,230.183088248145,0.9674083434277161,0.44394167923579686,3173.069082672707,2761.3737259343147,0.9775552018516026,0.7505376161293338,0.20942269430273766
31,542.0,26.26967516446403,169.04720792190437,0.7993663463604093,0.42812006319115326,3238.621771217712,2757.911439114391,0.7658797424041991,0.46069239857542343,0.2383379207940196
32,13710.0,132.12158853994708,2609.413174691054,0.923853149672955,0.14318089250467347,3519.8924872355947,3958.309773887673,3.851941356849769,11.653307720422612,0.02530239418311715
